Severity,Start_Time,Weather_Condition,Visibility(mi),Precipitation(in),Sunrise_Sunset,Start_Lat,Start_Lng,State
3,2022-01-01 00:00:00,Snow,5.92,1.48,Night,33.121977,-70.065497,PA
4,2022-01-01 01:00:00,Snow,7.84,0.57,Day,42.877175,-83.877158,MI
1,2022-01-01 02:00:00,Thunderstorm,9.32,0.76,Day,40.843444,-91.984742,FL
3,2022-01-01 03:00:00,Fog,2.98,0.4,Day,31.492567,-78.115742,FL
3,2022-01-01 04:00:00,Snow,3.68,1.94,Night,27.93124,-86.957922,FL
4,2022-01-01 05:00:00,Cloudy,4.91,1.03,Night,26.019362,-72.660553,FL
1,2022-01-01 06:00:00,Snow,9.31,1.79,Day,45.109964,-76.079993,NY
1,2022-01-01 07:00:00,Cloudy,9.06,0.69,Night,26.803407,-113.328,MI
3,2022-01-01 08:00:00,Snow,1.35,1.72,Night,27.756284,-110.859836,CA
2,2022-01-01 09:00:00,Cloudy,1.75,0.11,Day,30.705055,-121.159253,FL
3,2022-01-01 10:00:00,Snow,5.21,1.96,Night,35.696073,-112.008264,MI
3,2022-01-01 11:00:00,Snow,1.51,1.82,Night,43.95489,-104.734157,MI
3,2022-01-01 12:00:00,Rain,3.78,0.73,Night,30.939528,-123.299186,PA
3,2022-01-01 13:00:00,Cloudy,1.91,1.55,Day,38.044198,-106.41721,GA
4,2022-01-01 14:00:00,Cloudy,6.54,1.5,Night,27.168941,-79.478795,GA
1,2022-01-01 15:00:00,Cloudy,9.52,1.8,Night,36.148264,-75.420672,NC
4,2022-01-01 16:00:00,Clear,9.97,0.61,Day,29.263336,-124.476476,NC
4,2022-01-01 17:00:00,Snow,4.06,0.93,Day,30.068597,-124.578325,IL
4,2022-01-01 18:00:00,Cloudy,6.19,1.73,Night,33.803882,-116.367881,MI
3,2022-01-01 19:00:00,Thunderstorm,8.63,1.56,Night,43.272345,-73.517953,OH
2,2022-01-01 20:00:00,Clear,1.62,0.79,Night,42.855674,-97.312595,NY
1,2022-01-01 21:00:00,Rain,7.05,1.69,Day,34.959351,-67.008778,FL
2,2022-01-01 22:00:00,Cloudy,4.38,0.09,Day,27.848108,-72.647444,FL
4,2022-01-01 23:00:00,Cloudy,2.46,1.56,Night,31.736599,-72.482441,TX
4,2022-01-02 00:00:00,Clear,4.33,0.41,Day,37.128539,-117.419891,GA
2,2022-01-02 01:00:00,Snow,1.22,0.57,Day,45.865883,-96.961468,OH
2,2022-01-02 02:00:00,Thunderstorm,7.11,0.99,Day,48.238111,-66.378155,GA
2,2022-01-02 03:00:00,Rain,2.9,0.9,Day,40.299302,-116.20639,IL
4,2022-01-02 04:00:00,Cloudy,3.46,1.04,Day,33.416476,-91.120226,MI
4,2022-01-02 05:00:00,Snow,1.65,1.09,Day,41.642883,-104.68748,MI
1,2022-01-02 06:00:00,Thunderstorm,8.71,0.66,Night,33.069523,-102.11637,PA
1,2022-01-02 07:00:00,Thunderstorm,5.19,0.35,Night,40.011363,-72.443242,CA
4,2022-01-02 08:00:00,Rain,5.94,1.54,Night,30.850398,-90.313748,GA
2,2022-01-02 09:00:00,Fog,5.91,0.8,Day,31.407729,-80.232193,TX
2,2022-01-02 10:00:00,Thunderstorm,4.4,1.01,Night,26.805414,-85.279171,CA
1,2022-01-02 11:00:00,Fog,2.33,1.29,Night,35.083388,-93.788074,NC
4,2022-01-02 12:00:00,Thunderstorm,7.58,1.82,Day,39.836188,-78.289039,GA
1,2022-01-02 13:00:00,Rain,1.71,1.42,Night,43.931079,-67.726759,NC
1,2022-01-02 14:00:00,Clear,1.49,0.09,Night,44.448365,-67.957646,PA
3,2022-01-02 15:00:00,Rain,7.25,1.68,Night,48.818667,-78.422332,FL
3,2022-01-02 16:00:00,Rain,2.48,1.98,Night,27.106137,-96.247544,GA
3,2022-01-02 17:00:00,Clear,3.41,0.94,Day,36.835282,-115.373621,NY
2,2022-01-02 18:00:00,Clear,5.01,1.94,Night,37.51299,-122.37624,CA
4,2022-01-02 19:00:00,Snow,4.77,1.09,Day,44.308802,-111.344747,NC
4,2022-01-02 20:00:00,Thunderstorm,7.23,0.92,Day,31.392604,-104.924778,NY
4,2022-01-02 21:00:00,Snow,6.42,0.66,Night,26.664936,-117.338873,TX
4,2022-01-02 22:00:00,Clear,6.62,1.32,Day,32.530211,-111.738846,MI
3,2022-01-02 23:00:00,Fog,7.28,0.46,Day,48.614268,-120.070818,FL
2,2022-01-03 00:00:00,Fog,3.28,0.21,Day,46.586589,-94.103059,IL
2,2022-01-03 01:00:00,Rain,3.56,0.05,Day,34.485927,-117.547227,NC
3,2022-01-03 02:00:00,Cloudy,4.66,0.58,Night,46.030528,-81.176651,IL
2,2022-01-03 03:00:00,Rain,3.42,0.79,Night,25.786108,-105.373663,NY
3,2022-01-03 04:00:00,Rain,9.86,1.1,Day,32.540898,-85.3483,CA
4,2022-01-03 05:00:00,Cloudy,8.23,0.59,Day,42.443484,-72.931353,TX
3,2022-01-03 06:00:00,Thunderstorm,2.06,1.97,Day,30.314854,-119.925024,OH
4,2022-01-03 07:00:00,Clear,0.55,0.58,Day,29.761383,-66.648954,FL
4,2022-01-03 08:00:00,Fog,0.91,0.88,Night,45.683381,-86.930643,TX
1,2022-01-03 09:00:00,Rain,2.82,0.21,Day,39.782895,-121.85141,IL
3,2022-01-03 10:00:00,Cloudy,1.59,0.52,Night,48.736545,-106.473868,NY
1,2022-01-03 11:00:00,Snow,5.57,0.1,Day,28.232072,-72.711536,CA
3,2022-01-03 12:00:00,Rain,8.65,1.12,Day,33.547082,-89.822217,NC
3,2022-01-03 13:00:00,Fog,7.5,1.5,Day,32.469121,-108.05388,NC
1,2022-01-03 14:00:00,Clear,2.55,0.39,Night,46.123174,-69.51082,PA
1,2022-01-03 15:00:00,Rain,4.29,0.74,Night,31.127116,-78.552098,GA
3,2022-01-03 16:00:00,Rain,5.32,0.03,Night,33.483064,-81.603229,IL
2,2022-01-03 17:00:00,Thunderstorm,8.2,1.68,Day,28.428013,-72.5828,OH
4,2022-01-03 18:00:00,Cloudy,8.47,1.56,Night,43.609624,-79.582983,IL
1,2022-01-03 19:00:00,Snow,9.14,0.13,Day,30.704879,-108.082437,OH
4,2022-01-03 20:00:00,Snow,5.34,0.73,Day,26.639687,-90.550722,FL
2,2022-01-03 21:00:00,Clear,7.1,1.91,Night,35.44261,-75.305116,FL
2,2022-01-03 22:00:00,Fog,1.56,0.78,Day,34.394995,-114.329962,MI
2,2022-01-03 23:00:00,Clear,5.87,1.05,Night,29.262621,-115.381627,FL
1,2022-01-04 00:00:00,Rain,2.86,0.71,Day,28.206341,-115.620401,MI
2,2022-01-04 01:00:00,Rain,4.6,1.19,Day,46.517373,-113.538939,IL
1,2022-01-04 02:00:00,Snow,6.52,1.96,Day,26.628268,-118.909382,CA
2,2022-01-04 03:00:00,Fog,2.94,2.0,Day,27.383463,-75.579888,NC
4,2022-01-04 04:00:00,Cloudy,1.0,1.55,Day,30.881135,-76.719225,NC
4,2022-01-04 05:00:00,Fog,0.6,0.81,Night,47.868141,-116.069229,NY
3,2022-01-04 06:00:00,Rain,0.71,0.99,Day,27.049222,-83.373307,TX
4,2022-01-04 07:00:00,Cloudy,0.58,0.71,Day,44.584356,-88.008442,OH
3,2022-01-04 08:00:00,Fog,1.55,1.97,Night,46.409252,-108.704538,OH
4,2022-01-04 09:00:00,Fog,2.78,1.42,Night,34.068826,-111.585262,IL
1,2022-01-04 10:00:00,Cloudy,2.6,0.9,Day,32.053466,-110.215435,GA
4,2022-01-04 11:00:00,Rain,9.87,0.02,Night,41.257065,-81.892794,FL
3,2022-01-04 12:00:00,Fog,3.41,1.04,Day,41.86323,-106.160293,TX
